QuestionID,Question,Answer,Document
Q18,how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",antibody
Q19,how are antibodies used in,"The antibody recognizes a unique part of the foreign target, called an antigen .",antibody
Q20,how are antibodies used in,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.",antibody
Q21,how are antibodies used in,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).",antibody
Q22,how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",J. K. Rowling
Q23,how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.","Auburndale, Florida"
Q24,"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",Kirk Douglas
Q25,how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",Bob Seger
Q26,how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).",I Love Lucy
Q27,how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",Richard Nixon
Q28,HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ "".",Mexican peso
Q29,How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.",Mickie James
Q30,how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.",Pitbull (entertainer)
Q31,how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",World Trade Center
Q32,how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",Electron shell
Q33,how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",List of Presidents of the United States
Q34,how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",Bea Arthur
Q35,how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",state school
Q36,how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",state school
Q37,what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,Light-independent reactions
Q38,what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.,Light-independent reactions
Q39,how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.",Interlibrary loan
Q40,how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.",Interlibrary loan
Q41,what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",Mia Hamm
Q42,what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .,MacConkey agar
Q43,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",Buddhism by country
Q44,how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",Wild Bill Hickok
Q45,how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.,Mars rover
Q46,how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",Financial audit
Q47,how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",Financial audit
Q48,how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,Financial audit
Q49,what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .",Owl
Q50,how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.",Harmon Killebrew
Q51,What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",Augur
Q52,How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone.",The Waterboy
Q53,"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .,"Farmington Hills, Michigan"
Q54,what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",Groundhog Day
Q55,What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,Joint committee
Q56,how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,Flag of the United States
Q57,How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .,States and territories of India
Q58,how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.",Pertussis
Q59,how is whooping cough distinguished from similar diseases,The coughing stage lasts approximately six weeks before subsiding.,Pertussis
Q60,what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.,"Galveston County, Texas"
Q61,what cities are in the bahamas,Nassau,List of cities in the Bahamas
Q62,what cities are in the bahamas,"Freeport, Bahamas",List of cities in the Bahamas
Q63,how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",Big Ten Conference
Q64,how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",Single malt Scotch
Q65,how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",Single malt Scotch
Q66,what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .",Sound mass
Q67,what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).",Sound mass
Q68,what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,Sound mass
Q69,what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",Sound mass
Q70,what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).",Sound mass
Q71,what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .",Sound mass
Q72,what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,Sound mass
Q73,How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.,Spades
Q74,what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",Australia (continent)
Q75,what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.,Cardiovascular disease
Q76,what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.",History of immigration to the United States
Q77,what countries did immigrants come from during the immigration,Starting around 1600 British and other Europeans settled primarily on the east coast .,History of immigration to the United States
Q78,how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",Atlanta
Q79,how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",Atlanta
Q80,what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.,Commonwealth
Q81,how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",Supreme Court of the United States
Q82,what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.,"Conroe, Texas"
Q83,what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).",Microsoft SQL Server
Q84,how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.",Oklahoma City bombing
Q85,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",ARIA Music Awards
Q86,how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",Dredging
Q87,how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",Dredging
Q88,how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",Dredging
Q89,how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",Dredging
Q90,how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",Dredging
Q91,what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later.",Benedict arnold
Q92,how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,Curt Schilling
Q93,how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",Port (computer networking)
Q94,what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",Area code 479
Q95,what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",Area code 479
Q96,what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,Arraignment
Q97,what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",Geoffrey Chaucer
Q98,what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",Geoffrey Chaucer
Q99,what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",12-hour clock
Q100,how is canada's health care,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.""",Comparison of the health care systems in Canada and the United States
Q101,how many xbox 360 games are there,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013.",List of Xbox 360 games
Q102,how do pineapples grow,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.",Pineapple
Q103,what country did wine originate in,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.",History of wine
Q104,how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .",List of districts of West Bengal
Q105,how many towns in new hampshire,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .,List of cities and towns in New Hampshire
Q106,what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions.",Salesforce.com
Q107,what does 1 year mean to the planet,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .",Earth
Q108,what is feedback mechanism in plants during respiration,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.",Cellular respiration
Q109,how fire extinguisher works,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.",Fire extinguisher
Q110,what does righteousness mean,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism .",Righteousness
Q111,what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems.",Righteousness
Q112,what countries are in central america?,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .",Central america
Q113,how does a steam engine work,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .,Steam engine
Q114,how does a steam engine work,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products.",Steam engine
Q115,what county is tacoma washington in,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States.","Tacoma, Washington"
Q116,what county is chula vista ca in,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists.","Chula Vista, California"
Q117,what did isaac newton do,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .,Isaac Newton
Q118,what does the universal law of gravitation state,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.,Newton's law of universal gravitation
Q119,how does a dim sum restaurant work,Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.,Dim sum
Q120,how does a dim sum restaurant work,"Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables.",Dim sum
Q121,how does a dim sum restaurant work,"Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , 飲茶), as tea is typically served with dim sum.",Dim sum
Q122,how many US soldiers killed in Iraq war,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012.",Casualties of the Iraq War
Q123,how many planets is jupiter away from the sun?,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .,Jupiter
Q124,what city was the convention when gerald ford was nominated,"Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan .",1976 Republican National Convention
Q125,how many professional hockey teams in canada,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises.",National Hockey League
Q126,what county is northville mi,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .,"Northville, Michigan"
Q127,what county is northville mi,"Most of the city is in Oakland County, and is surrounded by the city of Novi .","Northville, Michigan"
Q128,how many games did brett favre start in a row,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).",Brett Favre
Q129,what does a vote to table a motion mean?,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion.",Table (parliamentary procedure)
Q130,What does the class mean for SDHC cards?,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage.",Secure Digital
Q131,what do porcupines eat,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark.",Porcupine
Q132,what did elijah mccoy invent,"Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines.",Elijah McCoy
Q133,how many apple store are there in total?,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area .",Apple Store
Q134,What does the idea of effective nuclear charge tell us,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons.",Effective nuclear charge
Q135,how is jerky made,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage.",Jerky
Q136,how is jerky made,"Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 °C/160 °F).",Jerky
Q137,what domain is eu,.eu is the country code top-level domain (ccTLD) for the European Union (EU).,.eu
Q138,"What does the name ""Meister"" mean in German","Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart ).",Meister
Q139,what happened on the moon during the period of Late Heavy Bombardment?,"During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well.",Late Heavy Bombardment
Q140,How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents.",Edgar allan poe
Q141,what did tycho brahe do,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations.",Tycho Brahe
Q142,what did tycho brahe do,Tycho was well known in his lifetime as an astronomer and alchemist .,Tycho Brahe
Q143,how many seasons heroes,"Four complete seasons aired, ending on February 8, 2010.",Heroes (TV series)
Q144,what holiday is first weekend of september,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers.",Labor day
Q145,how old r Dylan and Cole Sprouse,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors.",Dylan and Cole Sprouse
Q146,what does life insurance cover?,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person.",Life insurance
Q147,what does life insurance cover?,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.",Life insurance
Q148,what does life insurance cover?,"Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment.",Life insurance
Q149,how many days does the chinese new year last,9 – 12 February (Vietnam),Chinese New Year
Q150,what does s.h.i.e.l.d stand for,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division.",S.H.I.E.L.D.
Q151,how many consoles has xbox 360 sold,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide.",Xbox 360
Q152,how is a backpack made,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",Backpack
Q153,WHAT COUNTRY IS MEXICO IN,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America.",Mexico
Q154,how is slugging percentage calculated,It is calculated as total bases divided by at bats :,Slugging percentage
Q155,what day is st. patricks day,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March.",Saint Patrick's Day
Q156,what cheese is made from goat's milk,"Goat cheese, or chèvre (from the French word for goat), is cheese made out of the milk of goats .",Goat cheese
Q157,what does the federal reserve do,"Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions.",Federal Reserve System
Q158,what country is belize in,"Belize , is a country located on the northeastern coast of Central America.",Belize
Q159,how many books are included in the protestant Bible?,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,Books of the Bible
Q160,how many stars on the first american flag,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .,Betsy Ross flag
Q161,how does a cat purr,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only ‘purring cats’ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr.",Purr
Q162,what became of rich on price is right,"Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California.",Rich Fields
Q163,what became of rich on price is right,"Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles.",Rich Fields
Q164,what county is St. Elizabeth MO in,"St. Elizabeth is a village in Miller County , Missouri , United States .","St. Elizabeth, Missouri"
Q165,what county is wilton ca in,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States .","Wilton, California"
Q166,what happened to stevie ray vaughan,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin .",Stevie Ray Vaughan
Q167,how many gold gloves does barry larkin have,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .",Barry Larkin
Q168,what caused ww,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.",Causes of World War I
Q169,how did women's role change during the war,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home.",Women's roles in the World Wars
Q170,how many seasons were there of the wire,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.",The Wire
Q171,what kind of legal remedy is it to ask someone to fulfill there promise,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .",Contract
Q172,how is ASP.NET different from .NET,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .,ASP.NET
Q173,how does lsd impact the human body,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .",Lysergic acid diethylamide
Q174,how does lsd impact the human body,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .",Lysergic acid diethylamide
Q175,how does lsd impact the human body,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.",Lysergic acid diethylamide
Q176,how many people live in memphis tennessee,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States.","Memphis, Tennessee"
Q177,how many muscles in the human body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",List of muscles of the human body
Q178,how did seminole war end,"Ultimately, the Spanish Crown ceded the colony to United States rule.",Seminole Wars
Q179,what county is orono maine in,"Orono is a town in Penobscot County , Maine , United States .","Orono, Maine"
