Question,Answer
what company made the sensor of d300?,Nikon Corporation
what is the name of the company that produces the sensor of nikon d300?,Nikon Corporation
what is the name of the company that produces the sensor of d300?,Nikon Corporation
find the manufacturer of nikon d300's image sensor.,Nikon Corporation
find the manufacturer of d300's image sensor.,Nikon Corporation
which business manufactures the nikon d300 camera's image sensor?,Nikon Corporation
which business manufactures the d300 camera's image sensor?,Nikon Corporation
what ice hockey coaches have been working on their current job since 2009?,Dan Bylsma
2009 was the starting time of what current ice hockey coaches?,Dan Bylsma
which ice hockey coaches started their current employment from 2009?,Dan Bylsma
who started to coach his/her current ice hockey team from 2009?,John Tortorella
which ice hockey coaches started to coach their current team in 2009?,Peter Laviolette
which synagogues were designed in a gothic architecture style?,Eldridge Street Synagogue
which synagogues were designed in a gothic style?,Eldridge Street Synagogue
which synagogues were designed in a gothical style?,Eldridge Street Synagogue
which synagogues are of the gothic architecture style?,Eldridge Street Synagogue
which synagogues are of the gothic style?,Eldridge Street Synagogue
which synagogues are of the gothical style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothic architecture style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothic style?,Eldridge Street Synagogue
what is the name of the jewish synagogue representing the gothical style?,Eldridge Street Synagogue
what are the synagogues that are built with a gothic architecture?,Eldridge Street Synagogue
what are the synagogues that are built with a gothic?,Eldridge Street Synagogue
what are the synagogues that are built with a gothical?,Eldridge Street Synagogue
which synagogue has the architectural style gothic architecture?,Eldridge Street Synagogue
which synagogue has the architectural style gothic?,Eldridge Street Synagogue
which synagogue has the architectural style gothical?,Eldridge Street Synagogue
who wrote twilight?,Stephenie Meyer
whose work has been adapted for the film twilight?,Stephenie Meyer
the movie twilight is based on whose book?,Stephenie Meyer
what is the name of the author that wrote twilight?,Stephenie Meyer
what is the name of twilight's author?,Stephenie Meyer
who wrote the story of twilight?,Stephenie Meyer
who is the author of twilight?,Stephenie Meyer
what kind of spirit is justerini & brooks?,Single malt Scotch whisky
what kind of spirit is j&b?,Single malt Scotch whisky
what kind of spirit is j & b?,Single malt Scotch whisky
what kind of alcoholic beverage is justerini & brooks?,Grain whisky
what kind of alcoholic beverage is j&b?,Grain whisky
what kind of alcoholic beverage is j & b?,Grain whisky
what type of distilled spirit is justerini & brooks?,Single malt Scotch whisky
what type of distilled spirit is j&b?,Grain whisky
what type of distilled spirit is j & b?,Single malt Scotch whisky
justerini & brooks is which type of distilled spirit?,Grain whisky
j&b is which type of distilled spirit?,Single malt Scotch whisky
j & b is which type of distilled spirit?,Grain whisky
what comic book series belong to science fiction?,Echo
what comic book series belong to sci-fi?,Amuri in Star Ocean
what comic book series belong to scifi?,DT Eightron
give me science fiction comic books.,Mojacko
give me sci-fi comic books.,Blake and Mortimer
give me scifi comic books.,The Private Eye
what are the science fiction themed comic book series?,Twin Signal
what are the sci-fi themed comic book series?,Mojacko
what are the scifi themed comic book series?,Monkeyman & O'Brien
find comic book series in the science fiction genre.,Twin Signal
find comic book series in the sci-fi genre.,Echo
find comic book series in the scifi genre.,Infinite Stratos
find comic book series under the genre science fiction.,Barabanba
find comic book series under the genre sci-fi.,The Invisibles
find comic book series under the genre scifi.,Echo
name an academic article on the subject of sociology?,Toward Racial Healing
what are the articles about sociology published in a journal?,Toward Racial Healing
find journal articles about sociology.,Toward Racial Healing
what journal articles are there in sociology?,Toward Racial Healing
in which tournaments did west indies cricket team win the championship?,2012 ICC World Twenty20
in which tournaments did west indies win the championship?,1979 Cricket World Cup
in which tournaments did windies win the championship?,2012 ICC World Twenty20
which tournaments has west indies cricket team won?,2012 ICC World Twenty20
which tournaments has west indies won?,2012 ICC World Twenty20
which tournaments has windies won?,2012 ICC World Twenty20
what are the tournaments that west indies cricket team was the champion?,1979 Cricket World Cup
what are the tournaments that west indies was the champion?,1979 Cricket World Cup
what are the tournaments that windies was the champion?,1979 Cricket World Cup
which championships did the west indies cricket team win during tournament play?,1979 Cricket World Cup
which championships did the west indies win during tournament play?,2012 ICC World Twenty20
which championships did the windies win during tournament play?,2012 ICC World Twenty20
find the child literary genres of science fiction.,Soft science fiction
find the child literary genres of sci-fi.,Feminist science fiction
find the child literary genres of scifi.,Cyberpunk
